날짜,유입채널,디바이스,유입,가입,장바구니,결제시작,결제완료
2026-06-24,유료검색,모바일,456,60,17,9,4
2026-06-24,유료검색,PC,138,18,6,4,2
2026-06-24,메타광고,모바일,419,46,11,6,3
2026-06-24,메타광고,PC,105,11,4,2,1
2026-06-24,인스타,모바일,200,19,5,3,1
2026-06-24,인스타,PC,68,6,2,1,0
2026-06-24,뉴스레터,모바일,173,29,8,4,2
2026-06-24,뉴스레터,PC,49,9,3,2,1
2026-06-25,자연검색,모바일,380,56,14,8,4
2026-06-25,자연검색,PC,91,13,4,2,1
2026-06-25,유료검색,모바일,462,55,14,7,3
2026-06-25,유료검색,PC,115,14,5,3,2
2026-06-25,메타광고,모바일,413,49,12,7,4
2026-06-25,메타광고,PC,116,14,5,3,2
2026-06-25,인스타,모바일,195,18,5,3,1
2026-06-25,인스타,PC,64,6,2,1,0
2026-06-25,뉴스레터,모바일,142,24,6,3,2
2026-06-25,뉴스레터,PC,48,9,3,2,1
2026-06-26,자연검색,모바일,326,43,11,6,3
2026-06-26,자연검색,PC,91,13,4,2,1
2026-06-26,유료검색,모바일,450,56,15,8,4
2026-06-26,유료검색,PC,127,16,6,3,1
2026-06-26,메타광고,모바일,438,49,13,7,3
2026-06-26,메타광고,PC,124,13,5,3,1
2026-06-26,인스타,모바일,206,19,5,3,1
2026-06-26,인스타,PC,64,6,2,1,0
2026-06-26,뉴스레터,모바일,166,28,8,5,3
2026-06-26,뉴스레터,PC,46,8,3,2,1
2026-06-27,자연검색,모바일,422,60,16,8,4
2026-06-27,자연검색,PC,117,16,6,3,2
2026-06-27,유료검색,모바일,517,61,17,9,5
2026-06-27,유료검색,PC,139,16,6,3,2
2026-06-27,메타광고,모바일,431,48,13,7,4
2026-06-27,메타광고,PC,128,15,5,3,1
2026-06-27,인스타,모바일,246,22,6,3,1
2026-06-27,인스타,PC,71,7,3,2,1
2026-06-27,뉴스레터,모바일,181,34,10,6,3
2026-06-27,뉴스레터,PC,57,10,4,2,1
2026-06-28,자연검색,모바일,419,60,16,8,4
2026-06-28,자연검색,PC,124,17,6,3,2
2026-06-28,유료검색,모바일,535,65,19,11,6
2026-06-28,유료검색,PC,160,19,7,4,2
2026-06-28,메타광고,모바일,471,54,15,8,4
2026-06-28,메타광고,PC,148,16,6,3,1
2026-06-28,인스타,모바일,269,25,6,4,2
2026-06-28,인스타,PC,76,6,2,1,1
2026-06-28,뉴스레터,모바일,201,33,9,5,3
2026-06-28,뉴스레터,PC,52,9,3,2,1
2026-06-29,자연검색,모바일,364,52,13,8,4
2026-06-29,자연검색,PC,99,14,5,3,1
2026-06-29,유료검색,모바일,414,48,14,7,4
2026-06-29,유료검색,PC,109,14,5,3,2
2026-06-29,메타광고,모바일,363,41,11,6,3
2026-06-29,메타광고,PC,101,12,5,3,2
2026-06-29,인스타,모바일,246,21,5,3,1
2026-06-29,인스타,PC,65,6,2,1,0
2026-06-29,뉴스레터,모바일,169,28,7,4,2
2026-06-29,뉴스레터,PC,40,8,3,2,1
2026-06-30,자연검색,모바일,373,54,15,8,4
2026-06-30,자연검색,PC,108,14,5,3,1
2026-06-30,유료검색,모바일,427,55,16,8,4
2026-06-30,유료검색,PC,113,13,5,3,1
2026-06-30,메타광고,모바일,393,46,12,7,3
2026-06-30,메타광고,PC,127,13,5,3,2
2026-06-30,인스타,모바일,248,22,6,3,2
2026-06-30,인스타,PC,65,6,2,1,0
2026-06-30,뉴스레터,모바일,140,25,6,3,1
2026-06-30,뉴스레터,PC,41,7,2,1,0
2026-07-01,자연검색,모바일,320,45,11,6,1
2026-07-01,자연검색,PC,87,12,4,2,0
2026-07-01,유료검색,모바일,480,63,17,10,2
2026-07-01,유료검색,PC,124,14,5,3,1
2026-07-01,메타광고,모바일,417,51,15,8,2
2026-07-01,메타광고,PC,116,14,5,3,1
2026-07-01,인스타,모바일,231,21,5,3,1
2026-07-01,인스타,PC,66,6,2,1,0
2026-07-01,뉴스레터,모바일,161,30,8,4,1
2026-07-01,뉴스레터,PC,42,7,3,2,0
2026-07-02,자연검색,모바일,331,46,11,6,1
2026-07-02,자연검색,PC,96,14,5,3,1
2026-07-02,유료검색,모바일,404,47,12,7,1
2026-07-02,유료검색,PC,135,17,6,3,1
2026-07-02,메타광고,모바일,401,44,12,6,1
2026-07-02,메타광고,PC,113,13,5,3,1
2026-07-02,인스타,모바일,213,20,5,3,1
2026-07-02,인스타,PC,57,5,2,1,0
2026-07-02,뉴스레터,모바일,138,26,7,4,1
2026-07-02,뉴스레터,PC,42,8,3,2,0
2026-07-03,자연검색,모바일,305,41,11,6,1
2026-07-03,자연검색,PC,103,16,5,3,1
2026-07-03,유료검색,모바일,462,60,15,9,2
2026-07-03,유료검색,PC,123,14,5,3,1
2026-07-03,메타광고,모바일,393,47,14,7,2
2026-07-03,메타광고,PC,118,12,5,3,1
2026-07-03,인스타,모바일,216,20,5,3,1
2026-07-03,인스타,PC,54,5,2,1,0
2026-07-03,뉴스레터,모바일,166,31,7,4,1
2026-07-03,뉴스레터,PC,41,8,3,2,0
2026-07-04,자연검색,모바일,365,56,15,8,2
2026-07-04,자연검색,PC,116,17,6,3,1
2026-07-04,유료검색,모바일,454,52,13,7,1
2026-07-04,유료검색,PC,138,17,6,3,1
2026-07-04,메타광고,모바일,474,55,15,9,2
2026-07-04,메타광고,PC,130,15,6,3,1
2026-07-04,인스타,모바일,285,25,7,4,1
2026-07-04,인스타,PC,70,7,3,2,0
2026-07-04,뉴스레터,모바일,202,39,11,6,1
2026-07-04,뉴스레터,PC,49,9,3,2,0
2026-07-05,자연검색,모바일,379,56,16,9,2
2026-07-05,자연검색,PC,115,17,7,4,1
2026-07-05,유료검색,모바일,500,60,16,8,2
2026-07-05,유료검색,PC,157,21,8,5,1
2026-07-05,메타광고,모바일,485,57,16,9,2
2026-07-05,메타광고,PC,120,13,5,3,1
2026-07-05,인스타,모바일,252,22,6,3,1
2026-07-05,인스타,PC,78,7,3,2,0
2026-07-05,뉴스레터,모바일,193,36,9,5,1
2026-07-05,뉴스레터,PC,50,9,3,2,0
2026-07-06,자연검색,모바일,313,48,12,7,1
2026-07-06,자연검색,PC,105,14,5,3,1
2026-07-06,유료검색,모바일,404,50,12,7,1
2026-07-06,유료검색,PC,127,17,6,3,1
2026-07-06,메타광고,모바일,373,45,13,8,2
2026-07-06,메타광고,PC,110,13,5,3,1
2026-07-06,인스타,모바일,205,18,5,3,1
2026-07-06,인스타,PC,66,6,2,1,0
2026-07-06,뉴스레터,모바일,152,25,6,3,1
2026-07-06,뉴스레터,PC,46,8,3,2,0
2026-07-07,자연검색,모바일,359,56,15,8,2
2026-07-07,자연검색,PC,96,14,5,3,1
2026-07-07,유료검색,모바일,404,53,14,8,2
2026-07-07,유료검색,PC,111,13,5,3,1
2026-07-07,메타광고,모바일,388,42,11,6,1
2026-07-07,메타광고,PC,116,14,5,3,1
2026-07-07,인스타,모바일,244,21,6,3,1
2026-07-07,인스타,PC,67,6,2,1,0
2026-07-07,뉴스레터,모바일,143,26,7,4,1
2026-07-07,뉴스레터,PC,43,8,3,2,0
2026-07-08,자연검색,모바일,323,44,11,6,1
2026-07-08,자연검색,PC,109,15,6,3,1
2026-07-08,유료검색,모바일,485,62,16,8,2
2026-07-08,유료검색,PC,129,17,6,3,1
2026-07-08,메타광고,모바일,407,45,12,7,1
2026-07-08,메타광고,PC,107,13,4,2,0
2026-07-08,인스타,모바일,203,18,5,3,1
2026-07-08,인스타,PC,69,6,2,1,0
2026-07-08,뉴스레터,모바일,160,28,7,4,1
2026-07-08,뉴스레터,PC,48,9,3,2,0
2026-07-09,자연검색,모바일,332,48,14,7,2
2026-07-09,자연검색,PC,106,14,5,3,1
2026-07-09,유료검색,모바일,472,62,16,8,2
2026-07-09,유료검색,PC,130,17,6,3,1
2026-07-09,메타광고,모바일,459,55,15,9,2
2026-07-09,메타광고,PC,118,13,5,3,1
2026-07-09,인스타,모바일,226,21,6,3,1
2026-07-09,인스타,PC,65,6,2,1,0
2026-07-09,뉴스레터,모바일,177,31,8,4,1
2026-07-09,뉴스레터,PC,50,9,3,2,0
2026-07-10,자연검색,모바일,321,47,12,6,1
2026-07-10,자연검색,PC,101,14,5,3,1
2026-07-10,유료검색,모바일,431,55,14,8,2
2026-07-10,유료검색,PC,116,15,6,3,1
2026-07-10,메타광고,모바일,439,48,12,7,1
2026-07-10,메타광고,PC,117,12,4,2,0
2026-07-10,인스타,모바일,199,18,5,3,1
2026-07-10,인스타,PC,62,5,2,1,0
2026-07-10,뉴스레터,모바일,143,27,7,4,1
2026-07-10,뉴스레터,PC,41,7,3,2,0
2026-07-11,자연검색,모바일,452,67,18,10,2
2026-07-11,자연검색,PC,106,16,6,3,1
2026-07-11,유료검색,모바일,528,64,17,10,2
2026-07-11,유료검색,PC,158,19,6,3,1
2026-07-11,메타광고,모바일,533,63,18,10,2
2026-07-11,메타광고,PC,141,16,5,3,1
2026-07-11,인스타,모바일,276,26,7,4,1
2026-07-11,인스타,PC,76,7,3,2,0
2026-07-11,뉴스레터,모바일,171,32,9,5,1
2026-07-11,뉴스레터,PC,54,10,3,2,0
2026-07-12,자연검색,모바일,451,65,16,9,2
2026-07-12,자연검색,PC,101,14,5,3,1
2026-07-12,유료검색,모바일,562,70,17,10,2
2026-07-12,유료검색,PC,130,17,6,3,1
2026-07-12,메타광고,모바일,468,53,15,8,2
2026-07-12,메타광고,PC,121,13,5,3,1
2026-07-12,인스타,모바일,224,20,5,3,1
2026-07-12,인스타,PC,71,7,3,2,0
2026-07-12,뉴스레터,모바일,166,31,9,5,1
2026-07-12,뉴스레터,PC,52,9,3,2,0
2026-07-13,자연검색,모바일,335,47,13,7,1
2026-07-13,자연검색,PC,110,16,6,3,1
2026-07-13,유료검색,모바일,489,64,18,10,2
2026-07-13,유료검색,PC,124,15,6,3,1
2026-07-13,메타광고,모바일,403,43,12,6,1
2026-07-13,메타광고,PC,115,13,5,3,1
2026-07-13,인스타,모바일,237,22,6,3,1
2026-07-13,인스타,PC,56,5,2,1,0
2026-07-13,뉴스레터,모바일,154,28,7,4,1
2026-07-13,뉴스레터,PC,44,8,3,2,0
2026-07-14,자연검색,모바일,362,52,13,7,2
2026-07-14,자연검색,PC,95,13,5,3,1
2026-07-14,유료검색,모바일,439,58,15,8,2
2026-07-14,유료검색,PC,119,14,5,3,1
2026-07-14,메타광고,모바일,441,46,11,6,1
2026-07-14,메타광고,PC,109,13,5,3,1
2026-07-14,인스타,모바일,207,17,5,3,1
2026-07-14,인스타,PC,67,6,2,1,0
2026-07-14,뉴스레터,모바일,144,25,7,4,1
2026-07-14,뉴스레터,PC,50,8,3,2,0
2026-07-15,자연검색,모바일,363,54,15,8,2
2026-07-15,자연검색,PC,93,13,4,2,0
2026-07-15,유료검색,모바일,427,49,13,7,2
2026-07-15,유료검색,PC,136,18,6,3,1
2026-07-15,메타광고,모바일,430,50,13,7,2
2026-07-15,메타광고,PC,122,14,5,3,1
2026-07-15,인스타,모바일,240,20,6,4,1
2026-07-15,인스타,PC,57,5,2,1,0
2026-07-15,뉴스레터,모바일,166,27,8,5,1
2026-07-15,뉴스레터,PC,43,8,3,2,0
2026-07-16,자연검색,모바일,358,54,13,7,1
2026-07-16,자연검색,PC,110,16,6,3,1
2026-07-16,유료검색,모바일,434,56,14,8,2
2026-07-16,유료검색,PC,113,13,4,2,0
2026-07-16,메타광고,모바일,417,50,13,7,2
2026-07-16,메타광고,PC,109,12,4,2,0
2026-07-16,인스타,모바일,244,21,5,3,1
2026-07-16,인스타,PC,55,5,2,1,0
2026-07-16,뉴스레터,모바일,144,25,7,4,1
2026-07-16,뉴스레터,PC,50,9,3,2,0
2026-07-17,자연검색,모바일,355,50,15,9,2
2026-07-17,자연검색,PC,110,17,7,4,1
2026-07-17,유료검색,모바일,443,58,14,7,1
2026-07-17,유료검색,PC,110,14,6,4,1
2026-07-17,메타광고,모바일,450,53,13,7,2
2026-07-17,메타광고,PC,109,12,4,2,0
2026-07-17,인스타,모바일,216,20,6,3,1
2026-07-17,인스타,PC,56,5,2,1,0
2026-07-17,뉴스레터,모바일,143,24,6,3,1
2026-07-17,뉴스레터,PC,39,7,3,2,0
2026-07-18,자연검색,모바일,373,54,14,8,2
2026-07-18,자연검색,PC,118,17,6,3,1
2026-07-18,유료검색,모바일,471,54,15,8,2
2026-07-18,유료검색,PC,133,16,6,3,1
2026-07-18,메타광고,모바일,473,54,13,7,1
2026-07-18,메타광고,PC,119,14,5,3,1
2026-07-18,인스타,모바일,233,21,6,3,1
2026-07-18,인스타,PC,68,6,2,1,0
2026-07-18,뉴스레터,모바일,195,36,9,5,1
2026-07-18,뉴스레터,PC,48,8,3,2,0
2026-07-19,자연검색,모바일,443,68,19,10,2
2026-07-19,자연검색,PC,102,15,5,3,1
2026-07-19,유료검색,모바일,508,59,17,9,2
2026-07-19,유료검색,PC,138,18,7,4,1
2026-07-19,메타광고,모바일,460,54,16,9,2
2026-07-19,메타광고,PC,123,14,5,3,1
2026-07-19,인스타,모바일,284,27,7,4,1
2026-07-19,인스타,PC,63,6,2,1,0
2026-07-19,뉴스레터,모바일,161,30,8,5,1
2026-07-19,뉴스레터,PC,45,8,3,2,0
2026-07-20,자연검색,모바일,362,49,13,7,1
2026-07-20,자연검색,PC,103,15,5,3,1
2026-07-20,유료검색,모바일,421,54,15,8,2
2026-07-20,유료검색,PC,136,18,7,4,1
2026-07-20,메타광고,모바일,412,50,15,8,2
2026-07-20,메타광고,PC,126,15,5,3,1
2026-07-20,인스타,모바일,225,20,5,3,1
2026-07-20,인스타,PC,55,5,2,1,0
2026-07-20,뉴스레터,모바일,171,28,8,4,1
2026-07-20,뉴스레터,PC,46,9,3,2,0
2026-07-21,자연검색,모바일,302,44,11,6,1
2026-07-21,자연검색,PC,87,13,4,2,0
2026-07-21,유료검색,모바일,386,48,14,7,1
2026-07-21,유료검색,PC,114,14,5,3,1
2026-07-21,메타광고,모바일,445,48,13,7,1
2026-07-21,메타광고,PC,104,12,5,3,1
2026-07-21,인스타,모바일,199,17,5,3,1
2026-07-21,인스타,PC,61,6,2,1,0
2026-07-21,뉴스레터,모바일,156,30,8,4,1
2026-07-21,뉴스레터,PC,47,8,3,2,0
2026-07-22,자연검색,모바일,317,46,11,6,1
2026-07-22,자연검색,PC,98,14,5,3,1
2026-07-22,유료검색,모바일,432,58,14,8,2
2026-07-22,유료검색,PC,119,15,5,3,1
2026-07-22,메타광고,모바일,446,50,12,7,2
2026-07-22,메타광고,PC,122,14,5,3,1
2026-07-22,인스타,모바일,242,23,6,3,1
2026-07-22,인스타,PC,56,5,2,1,0
2026-07-22,뉴스레터,모바일,173,32,9,5,1
2026-07-22,뉴스레터,PC,50,9,3,2,0
2026-07-23,자연검색,모바일,382,58,14,7,1
2026-07-23,자연검색,PC,96,14,5,3,1
2026-07-23,유료검색,모바일,497,65,16,9,2
2026-07-23,유료검색,PC,116,15,6,3,1
2026-07-23,메타광고,모바일,432,50,13,7,1
2026-07-23,메타광고,PC,102,12,4,2,0
2026-07-23,인스타,모바일,227,21,5,3,1
2026-07-23,인스타,PC,67,6,2,1,0
2026-07-23,뉴스레터,모바일,152,26,7,4,1
2026-07-23,뉴스레터,PC,48,8,3,2,0
2026-07-24,자연검색,모바일,329,45,11,6,1
2026-07-24,자연검색,PC,91,14,5,3,1
2026-07-24,유료검색,모바일,387,50,14,7,2
2026-07-24,유료검색,PC,113,13,4,2,0
2026-07-24,메타광고,모바일,450,48,13,7,2
2026-07-24,메타광고,PC,119,14,5,3,1
2026-07-24,인스타,모바일,226,21,5,3,1
2026-07-24,인스타,PC,69,6,2,1,0
2026-07-24,뉴스레터,모바일,168,30,8,4,1
2026-07-24,뉴스레터,PC,46,8,3,2,0
2026-07-25,자연검색,모바일,429,63,16,9,2
2026-07-25,자연검색,PC,118,16,6,3,1
2026-07-25,유료검색,모바일,474,62,15,9,2
2026-07-25,유료검색,PC,159,20,8,5,1
2026-07-25,메타광고,모바일,481,58,15,8,2
2026-07-25,메타광고,PC,128,14,5,3,1
2026-07-25,인스타,모바일,241,22,5,3,1
2026-07-25,인스타,PC,72,7,3,2,0
2026-07-25,뉴스레터,모바일,202,36,9,5,1
2026-07-25,뉴스레터,PC,52,10,3,2,0
2026-07-26,자연검색,모바일,383,54,16,9,2
2026-07-26,자연검색,PC,113,15,5,3,1
2026-07-26,유료검색,모바일,484,60,15,8,2
2026-07-26,유료검색,PC,149,17,6,3,1
2026-07-26,메타광고,모바일,425,48,12,7,1
2026-07-26,메타광고,PC,131,14,5,3,1
2026-07-26,인스타,모바일,246,23,7,4,1
2026-07-26,인스타,PC,79,8,3,2,0
2026-07-26,뉴스레터,모바일,173,32,9,5,1
2026-07-26,뉴스레터,PC,53,10,3,2,0
2026-07-27,자연검색,모바일,379,56,16,9,2
2026-07-27,자연검색,PC,94,13,5,3,1
2026-07-27,유료검색,모바일,424,55,15,8,2
2026-07-27,유료검색,PC,135,17,6,4,1
2026-07-27,메타광고,모바일,443,50,13,7,2
2026-07-27,메타광고,PC,116,14,5,3,1
2026-07-27,인스타,모바일,223,21,6,3,1
2026-07-27,인스타,PC,61,5,2,1,0
2026-07-27,뉴스레터,모바일,151,26,7,4,1
2026-07-27,뉴스레터,PC,48,8,3,2,0
2026-07-28,자연검색,모바일,307,45,12,7,1
2026-07-28,자연검색,PC,88,12,4,2,0
2026-07-28,유료검색,모바일,437,52,13,7,2
2026-07-28,유료검색,PC,139,16,6,3,1
2026-07-28,메타광고,모바일,460,53,14,7,1
2026-07-28,메타광고,PC,129,15,5,3,1
2026-07-28,인스타,모바일,192,18,5,3,1
2026-07-28,인스타,PC,56,5,2,1,0
2026-07-28,뉴스레터,모바일,159,27,7,4,1
2026-07-28,뉴스레터,PC,40,8,3,2,0
2026-07-29,자연검색,모바일,322,50,13,7,1
2026-07-29,자연검색,PC,100,15,5,3,1
2026-07-29,유료검색,모바일,486,57,15,8,2
2026-07-29,유료검색,PC,116,14,5,3,1
2026-07-29,메타광고,모바일,447,49,12,7,1
2026-07-29,메타광고,PC,106,11,4,2,0
2026-07-29,인스타,모바일,236,22,6,3,1
2026-07-29,인스타,PC,64,6,2,1,0
2026-07-29,뉴스레터,모바일,174,30,8,5,1
2026-07-29,뉴스레터,PC,39,7,2,1,0
