고객ID,최근성(일),빈도(회),금액(원),R,F,M,RFM,세그먼트
CUS-****623,44,1,69200,4,1,2,412,관심 필요
CUS-****644,44,1,68400,4,1,2,412,관심 필요
CUS-****651,44,1,58300,4,1,1,411,관심 필요
CUS-****465,44,1,42000,4,1,1,411,관심 필요
CUS-****497,44,1,33600,4,1,1,411,관심 필요
CUS-****650,44,1,33500,4,1,1,411,관심 필요
CUS-****536,44,1,25800,4,1,1,411,관심 필요
CUS-****377,47,2,180600,4,2,4,424,관심 필요
CUS-****391,48,2,172500,4,2,4,424,관심 필요
CUS-****285,48,2,132300,4,2,3,423,관심 필요
CUS-****315,50,2,80000,4,2,2,422,관심 필요
CUS-****259,50,2,69300,4,2,2,422,관심 필요
CUS-****428,52,2,211900,4,2,4,424,관심 필요
CUS-****342,52,2,122400,4,2,3,423,관심 필요
CUS-****374,52,2,110900,4,2,3,423,관심 필요
CUS-****396,53,2,216700,4,2,4,424,관심 필요
CUS-****302,53,2,212600,4,2,4,424,관심 필요
CUS-****266,53,2,121200,4,2,3,423,관심 필요
CUS-****392,54,2,123300,4,2,3,423,관심 필요
CUS-****297,54,2,59600,4,2,1,421,관심 필요
CUS-****429,55,2,181400,4,2,4,424,관심 필요
CUS-****264,55,2,178300,4,2,4,424,관심 필요
CUS-****319,55,2,164500,4,2,4,424,관심 필요
CUS-****222,56,2,84600,4,2,2,422,관심 필요
CUS-****362,57,2,71900,4,2,2,422,관심 필요
CUS-****245,58,2,240300,4,2,4,424,관심 필요
CUS-****221,58,2,159400,4,2,4,424,관심 필요
CUS-****243,58,2,156900,4,2,4,424,관심 필요
CUS-****335,58,2,129500,4,2,3,423,관심 필요
CUS-****344,59,2,65500,4,2,2,422,관심 필요
CUS-****395,60,2,201100,4,2,4,424,관심 필요
CUS-****444,61,3,171400,3,3,4,334,관심 필요
CUS-****346,61,3,147700,3,3,3,333,관심 필요
CUS-****330,61,2,100300,3,2,3,323,관심 필요
CUS-****312,62,3,178200,3,3,4,334,관심 필요
CUS-****323,62,3,158100,3,3,4,334,관심 필요
CUS-****328,63,3,451800,3,3,5,335,관심 필요
CUS-****371,63,3,312000,3,3,5,335,관심 필요
CUS-****281,63,3,256200,3,3,5,335,관심 필요
CUS-****298,63,2,79900,3,2,2,322,관심 필요
CUS-****416,64,3,204800,3,3,4,334,관심 필요
CUS-****359,64,2,153000,3,2,4,324,관심 필요
CUS-****239,64,2,134800,3,2,3,323,관심 필요
CUS-****261,64,3,127800,3,3,3,333,관심 필요
CUS-****339,64,3,122100,3,3,3,333,관심 필요
CUS-****404,64,2,118400,3,2,3,323,관심 필요
CUS-****299,65,3,219100,3,3,4,334,관심 필요
CUS-****280,65,2,111700,3,2,3,323,관심 필요
CUS-****272,66,3,171800,3,3,4,334,관심 필요
CUS-****387,66,2,116800,3,2,3,323,관심 필요
CUS-****241,66,2,87700,3,2,2,322,관심 필요
CUS-****379,67,3,371200,3,3,5,335,관심 필요
CUS-****356,67,2,134100,3,2,3,323,관심 필요
CUS-****337,67,2,126300,3,2,3,323,관심 필요
CUS-****417,68,2,132200,3,2,3,323,관심 필요
CUS-****250,69,2,160700,3,2,4,324,관심 필요
CUS-****358,69,2,114000,3,2,3,323,관심 필요
CUS-****278,70,2,222800,3,2,4,324,관심 필요
CUS-****284,70,2,68800,3,2,2,322,관심 필요
CUS-****439,70,2,67000,3,2,2,322,관심 필요
CUS-****296,71,3,304200,3,3,5,335,관심 필요
CUS-****252,71,3,210900,3,3,4,334,관심 필요
CUS-****433,71,3,203200,3,3,4,334,관심 필요
CUS-****270,71,3,134400,3,3,3,333,관심 필요
CUS-****233,71,3,115700,3,3,3,333,관심 필요
CUS-****373,72,3,345700,3,3,5,335,관심 필요
CUS-****316,72,2,245400,3,2,4,324,관심 필요
CUS-****418,72,3,235000,3,3,4,334,관심 필요
CUS-****427,72,2,114100,3,2,3,323,관심 필요
CUS-****311,72,2,72000,3,2,2,322,관심 필요
CUS-****307,72,2,67700,3,2,2,322,관심 필요
CUS-****421,73,2,174900,3,2,4,324,관심 필요
CUS-****414,74,2,226900,3,2,4,324,관심 필요
CUS-****260,74,3,207000,3,3,4,334,관심 필요
CUS-****452,74,3,201400,3,3,4,334,관심 필요
CUS-****449,74,3,153600,3,3,4,334,관심 필요
CUS-****453,75,3,224100,3,3,4,334,관심 필요
CUS-****413,75,2,196700,3,2,4,324,관심 필요
CUS-****271,75,2,188500,3,2,4,324,관심 필요
CUS-****456,76,3,295500,3,3,5,335,관심 필요
CUS-****215,76,3,236500,3,3,4,334,관심 필요
CUS-****318,76,2,64400,3,2,2,322,관심 필요
CUS-****345,77,3,179400,3,3,4,334,관심 필요
CUS-****424,77,3,148200,3,3,3,333,관심 필요
CUS-****384,78,3,119100,3,3,3,333,관심 필요
CUS-****226,79,3,180900,3,3,4,334,관심 필요
CUS-****407,79,3,159800,3,3,4,334,관심 필요
CUS-****443,79,3,145000,3,3,3,333,관심 필요
CUS-****406,79,2,122100,3,2,3,323,관심 필요
CUS-****347,80,3,305000,3,3,5,335,관심 필요
CUS-****265,80,2,102900,3,2,3,323,관심 필요
CUS-****305,80,2,88500,3,2,2,322,관심 필요
CUS-****350,81,3,283000,3,3,5,335,관심 필요
CUS-****361,81,2,172100,3,2,4,324,관심 필요
CUS-****286,81,2,67400,3,2,2,322,관심 필요
CUS-****228,82,3,224400,3,3,4,334,관심 필요
CUS-****224,82,2,189800,3,2,4,324,관심 필요
CUS-****423,82,2,122100,3,2,3,323,관심 필요
CUS-****353,82,2,109900,3,2,3,323,관심 필요
CUS-****409,84,3,243100,3,3,4,334,관심 필요
CUS-****242,84,2,224900,3,2,4,324,관심 필요
CUS-****405,84,2,142700,3,2,3,323,관심 필요
CUS-****411,84,2,85600,3,2,2,322,관심 필요
CUS-****317,85,3,256600,3,3,5,335,관심 필요
CUS-****333,85,3,217000,3,3,4,334,관심 필요
CUS-****380,85,2,196400,3,2,4,324,관심 필요
CUS-****310,85,2,164300,3,2,4,324,관심 필요
CUS-****426,85,2,109800,3,2,3,323,관심 필요
CUS-****253,87,3,301000,3,3,5,335,관심 필요
CUS-****231,87,2,137000,3,2,3,323,관심 필요
CUS-****321,87,2,124700,3,2,3,323,관심 필요
CUS-****213,87,2,73800,3,2,2,322,관심 필요
CUS-****402,88,2,267800,3,2,5,325,관심 필요
CUS-****212,88,3,232000,3,3,4,334,관심 필요
CUS-****440,88,3,220400,3,3,4,334,관심 필요
CUS-****388,88,3,200500,3,3,4,334,관심 필요
CUS-****300,88,2,160700,3,2,4,324,관심 필요
CUS-****432,88,2,110800,3,2,3,323,관심 필요
CUS-****324,89,2,78200,3,2,2,322,관심 필요
CUS-****276,90,3,322200,3,3,5,335,관심 필요
CUS-****403,90,3,266100,3,3,5,335,관심 필요
CUS-****290,90,2,138000,3,2,3,323,관심 필요
CUS-****236,91,3,245300,3,3,4,334,이탈 위험
CUS-****434,91,2,138600,3,2,3,323,이탈 위험
CUS-****216,91,3,130900,3,3,3,333,이탈 위험
CUS-****214,91,2,105000,3,2,3,323,이탈 위험
CUS-****255,92,3,253800,3,3,5,335,이탈 위험
CUS-****438,92,3,193900,3,3,4,334,이탈 위험
CUS-****348,92,2,80600,3,2,2,322,이탈 위험
CUS-****368,93,2,162600,3,2,4,324,이탈 위험
CUS-****275,94,3,300300,3,3,5,335,이탈 위험
CUS-****450,94,3,279700,3,3,5,335,이탈 위험
CUS-****385,94,3,167100,3,3,4,334,이탈 위험
CUS-****412,94,3,156200,3,3,4,334,이탈 위험
CUS-****376,94,2,135300,3,2,3,323,이탈 위험
CUS-****268,94,2,130100,3,2,3,323,이탈 위험
CUS-****304,94,2,121200,3,2,3,323,이탈 위험
CUS-****857,129,4,489900,2,4,5,245,이탈 위험
CUS-****741,130,3,125400,2,3,3,233,이탈 위험
CUS-****674,132,1,51100,2,1,1,211,이탈 위험
CUS-****843,133,4,277200,2,4,5,245,이탈 위험
CUS-****763,133,3,91700,2,3,2,232,이탈 위험
CUS-****779,135,4,235800,2,4,4,244,이탈 위험
CUS-****844,135,3,161800,2,3,4,234,이탈 위험
CUS-****724,139,3,169200,2,3,4,234,이탈 위험
CUS-****655,139,4,144400,2,4,3,243,이탈 위험
CUS-****836,140,2,120100,2,2,3,223,이탈 위험
CUS-****685,141,2,81600,2,2,2,222,이탈 위험
CUS-****729,141,1,51700,2,1,1,211,이탈 위험
CUS-****826,142,3,132000,2,3,3,233,이탈 위험
CUS-****753,145,4,300100,2,4,5,245,이탈 위험
CUS-****700,145,1,85600,2,1,2,212,이탈 위험
CUS-****688,146,4,276200,2,4,5,245,이탈 위험
CUS-****771,146,2,172900,2,2,4,224,이탈 위험
CUS-****823,149,1,84400,2,1,2,212,이탈 위험
CUS-****827,150,2,120000,2,2,3,223,이탈 위험
CUS-****696,152,3,146500,2,3,3,233,이탈 위험
CUS-****706,152,1,88400,2,1,2,212,이탈 위험
CUS-****860,153,2,98400,2,2,2,222,이탈 위험
CUS-****781,154,3,177000,2,3,4,234,이탈 위험
CUS-****772,156,4,413800,2,4,5,245,이탈 위험
CUS-****833,156,3,227700,2,3,4,234,이탈 위험
CUS-****702,157,2,196000,2,2,4,224,이탈 위험
CUS-****869,157,2,186400,2,2,4,224,이탈 위험
CUS-****737,158,3,199700,2,3,4,234,이탈 위험
CUS-****692,158,2,154200,2,2,4,224,이탈 위험
CUS-****728,158,1,87800,2,1,2,212,이탈 위험
CUS-****661,160,4,383400,2,4,5,245,이탈 위험
CUS-****815,162,1,65100,2,1,2,212,이탈 위험
CUS-****751,163,4,409800,2,4,5,245,이탈 위험
CUS-****817,165,1,38500,2,1,1,211,이탈 위험
CUS-****695,167,4,409600,2,4,5,245,이탈 위험
CUS-****791,167,1,24500,2,1,1,211,이탈 위험
CUS-****810,169,3,253300,2,3,5,235,이탈 위험
CUS-****740,170,4,301500,2,4,5,245,이탈 위험
CUS-****701,172,2,136300,2,2,3,223,이탈 위험
CUS-****866,174,2,112800,2,2,3,223,이탈 위험
CUS-****658,175,3,205200,2,3,4,234,이탈 위험
CUS-****754,175,3,190200,2,3,4,234,이탈 위험
CUS-****830,176,3,124200,2,3,3,233,이탈 위험
CUS-****691,176,1,78400,2,1,2,212,이탈 위험
CUS-****742,177,2,68200,2,2,2,222,이탈 위험
CUS-****708,178,4,241200,2,4,4,244,이탈 위험
CUS-****703,178,1,42000,2,1,1,211,이탈 위험
CUS-****853,179,4,334800,2,4,5,245,이탈 위험
CUS-****783,179,4,252000,2,4,5,245,이탈 위험
CUS-****716,180,2,194400,2,2,4,224,이탈 위험
CUS-****871,180,1,32400,2,1,1,211,이탈 위험
CUS-****707,181,1,70100,2,1,2,212,휴면
CUS-****872,181,1,42200,2,1,1,211,휴면
CUS-****811,182,3,143100,2,3,3,233,휴면
CUS-****723,182,1,42600,2,1,1,211,휴면
CUS-****774,185,2,150600,2,2,4,224,휴면
CUS-****858,185,2,107200,2,2,3,223,휴면
CUS-****673,185,1,34900,2,1,1,211,휴면
CUS-****835,188,3,306100,2,3,5,235,휴면
CUS-****760,188,3,235000,2,3,4,234,휴면
CUS-****694,189,3,143900,2,3,3,233,휴면
CUS-****805,189,3,137200,2,3,3,233,휴면
CUS-****852,189,2,66000,2,2,2,222,휴면
CUS-****766,191,2,71800,2,2,2,222,휴면
CUS-****775,192,2,204800,2,2,4,224,휴면
CUS-****798,192,2,133100,2,2,3,223,휴면
CUS-****856,193,3,350900,2,3,5,235,휴면
CUS-****796,193,3,180200,2,3,4,234,휴면
CUS-****669,196,2,258400,2,2,5,225,휴면
CUS-****794,198,3,280400,2,3,5,235,휴면
CUS-****698,198,3,204300,2,3,4,234,휴면
CUS-****726,198,3,152200,2,3,4,234,휴면
CUS-****818,200,4,286000,2,4,5,245,휴면
CUS-****704,200,1,32200,2,1,1,211,휴면
CUS-****864,202,3,248100,1,3,4,134,휴면
CUS-****727,202,3,157100,1,3,4,134,휴면
CUS-****820,204,2,78100,1,2,2,122,휴면
CUS-****717,205,4,341500,1,4,5,145,휴면
CUS-****822,206,3,140000,1,3,3,133,휴면
CUS-****829,206,1,80300,1,1,2,112,휴면
CUS-****828,208,3,235200,1,3,4,134,휴면
CUS-****837,210,3,251900,1,3,5,135,휴면
CUS-****773,210,2,98200,1,2,2,122,휴면
CUS-****709,212,2,62900,1,2,2,122,휴면
CUS-****734,215,3,152500,1,3,4,134,휴면
CUS-****809,217,2,113600,1,2,3,123,휴면
CUS-****747,219,3,240500,1,3,4,134,휴면
CUS-****850,219,3,208200,1,3,4,134,휴면
CUS-****789,219,3,115100,1,3,3,133,휴면
CUS-****725,220,4,143400,1,4,3,143,휴면
CUS-****849,221,3,366000,1,3,5,135,휴면
CUS-****786,221,2,167300,1,2,4,124,휴면
CUS-****788,221,2,113600,1,2,3,123,휴면
CUS-****757,221,1,39200,1,1,1,111,휴면
CUS-****667,222,1,36600,1,1,1,111,휴면
CUS-****813,225,2,224700,1,2,4,124,휴면
CUS-****714,225,1,36600,1,1,1,111,휴면
CUS-****804,227,3,206000,1,3,4,134,휴면
CUS-****832,228,1,37200,1,1,1,111,휴면
CUS-****770,229,2,197800,1,2,4,124,휴면
CUS-****660,229,2,137800,1,2,3,123,휴면
CUS-****687,230,2,78300,1,2,2,122,휴면
CUS-****863,230,1,37100,1,1,1,111,휴면
CUS-****758,231,2,101300,1,2,3,123,휴면
CUS-****664,231,2,67500,1,2,2,122,휴면
CUS-****746,232,1,66100,1,1,2,112,휴면
CUS-****859,233,1,22000,1,1,1,111,휴면
CUS-****690,234,2,215000,1,2,4,124,휴면
CUS-****824,235,3,243000,1,3,4,134,휴면
CUS-****693,235,2,184600,1,2,4,124,휴면
CUS-****748,235,1,46900,1,1,1,111,휴면
CUS-****713,235,1,28600,1,1,1,111,휴면
CUS-****744,236,3,178600,1,3,4,134,휴면
CUS-****761,236,2,63500,1,2,2,122,휴면
CUS-****720,236,1,23800,1,1,1,111,휴면
CUS-****793,238,2,82000,1,2,2,122,휴면
CUS-****670,239,3,283400,1,3,5,135,휴면
CUS-****662,240,1,31900,1,1,1,111,휴면
CUS-****682,242,1,29700,1,1,1,111,휴면
CUS-****808,242,1,28000,1,1,1,111,휴면
CUS-****733,243,4,251600,1,4,5,145,휴면
CUS-****867,245,2,125700,1,2,3,123,휴면
CUS-****765,245,1,60000,1,1,2,112,휴면
CUS-****736,245,1,35400,1,1,1,111,휴면
CUS-****877,245,1,29500,1,1,1,111,휴면
CUS-****768,246,1,20700,1,1,1,111,휴면
CUS-****785,247,1,37700,1,1,1,111,휴면
CUS-****782,248,2,55800,1,2,1,121,휴면
CUS-****878,249,2,103000,1,2,3,123,휴면
CUS-****671,252,3,212300,1,3,4,134,휴면
CUS-****731,254,1,35600,1,1,1,111,휴면
CUS-****711,255,2,130400,1,2,3,123,휴면
CUS-****803,255,3,130100,1,3,3,133,휴면
CUS-****821,255,1,63600,1,1,2,112,휴면
CUS-****718,256,1,34800,1,1,1,111,휴면
CUS-****861,257,3,211700,1,3,4,134,휴면
CUS-****750,257,2,173300,1,2,4,124,휴면
CUS-****790,257,3,107400,1,3,3,133,휴면
CUS-****705,261,2,158800,1,2,4,124,휴면
CUS-****730,261,1,30400,1,1,1,111,휴면
CUS-****802,262,2,194600,1,2,4,124,휴면
CUS-****801,263,2,199000,1,2,4,124,휴면
CUS-****657,263,1,35600,1,1,1,111,휴면
CUS-****679,264,3,189700,1,3,4,134,휴면
CUS-****778,264,3,85300,1,3,2,132,휴면
CUS-****722,264,1,72400,1,1,2,112,휴면
CUS-****683,265,1,40300,1,1,1,111,휴면
CUS-****715,266,3,222600,1,3,4,134,휴면
CUS-****792,266,3,203200,1,3,4,134,휴면
CUS-****764,266,2,201000,1,2,4,124,휴면
CUS-****868,266,2,95100,1,2,2,122,휴면
CUS-****699,267,2,97300,1,2,2,122,휴면
CUS-****780,269,3,127200,1,3,3,133,휴면
CUS-****777,269,1,62600,1,1,2,112,휴면
CUS-****846,269,1,40800,1,1,1,111,휴면
CUS-****842,270,2,125300,1,2,3,123,휴면
CUS-****845,272,2,86200,1,2,2,122,휴면
CUS-****739,273,2,148600,1,2,3,123,휴면
CUS-****807,275,2,87400,1,2,2,122,휴면
CUS-****710,275,2,67000,1,2,2,122,휴면
CUS-****876,278,3,114900,1,3,3,133,휴면
CUS-****873,280,2,112600,1,2,3,123,휴면
CUS-****755,280,1,26700,1,1,1,111,휴면
CUS-****816,281,2,117700,1,2,3,123,휴면
CUS-****839,282,1,110500,1,1,3,113,휴면
CUS-****668,283,2,159500,1,2,4,124,휴면
CUS-****686,283,1,62500,1,1,2,112,휴면
CUS-****663,284,3,172700,1,3,4,134,휴면
CUS-****847,284,1,37300,1,1,1,111,휴면
CUS-****759,285,2,76500,1,2,2,122,휴면
CUS-****675,286,2,132200,1,2,3,123,휴면
CUS-****697,286,2,57900,1,2,1,121,휴면
CUS-****681,286,1,37800,1,1,1,111,휴면
CUS-****712,287,2,187000,1,2,4,124,휴면
CUS-****656,288,3,100600,1,3,3,133,휴면
CUS-****854,288,2,81600,1,2,2,122,휴면
CUS-****841,288,2,59500,1,2,1,121,휴면
CUS-****769,290,1,90800,1,1,2,112,휴면
CUS-****840,290,1,68000,1,1,2,112,휴면
CUS-****879,292,2,150200,1,2,4,124,휴면
CUS-****735,292,2,119800,1,2,3,123,휴면
CUS-****678,292,2,67200,1,2,2,122,휴면
CUS-****806,292,1,37300,1,1,1,111,휴면
CUS-****848,293,1,30200,1,1,1,111,휴면
CUS-****874,294,2,124800,1,2,3,123,휴면
CUS-****855,294,2,113100,1,2,3,123,휴면
CUS-****666,295,2,203800,1,2,4,124,휴면
CUS-****677,295,3,185600,1,3,4,134,휴면
CUS-****875,295,1,41900,1,1,1,111,휴면
CUS-****689,296,1,35700,1,1,1,111,휴면
CUS-****743,297,1,82200,1,1,2,112,휴면
CUS-****870,298,1,22800,1,1,1,111,휴면
CUS-****749,302,1,40200,1,1,1,111,휴면
CUS-****665,302,1,28400,1,1,1,111,휴면
CUS-****756,303,2,135400,1,2,3,123,휴면
CUS-****831,305,1,42300,1,1,1,111,휴면
CUS-****721,306,2,60000,1,2,2,122,휴면
CUS-****880,306,1,42900,1,1,1,111,휴면
CUS-****776,308,1,65900,1,1,2,112,휴면
CUS-****834,308,1,41600,1,1,1,111,휴면
CUS-****762,309,1,39600,1,1,1,111,휴면
CUS-****800,310,2,77100,1,2,2,122,휴면
CUS-****738,310,2,59900,1,2,1,121,휴면
CUS-****799,311,1,38900,1,1,1,111,휴면
CUS-****676,313,1,29800,1,1,1,111,휴면
CUS-****797,313,1,28500,1,1,1,111,휴면
CUS-****814,314,1,38300,1,1,1,111,휴면
CUS-****838,314,1,31500,1,1,1,111,휴면
CUS-****812,315,2,188500,1,2,4,124,휴면
CUS-****825,315,1,84600,1,1,2,112,휴면
CUS-****745,315,1,23300,1,1,1,111,휴면
CUS-****672,317,1,32200,1,1,1,111,휴면
CUS-****865,318,2,81600,1,2,2,122,휴면
CUS-****862,318,1,46700,1,1,1,111,휴면
CUS-****767,319,2,127900,1,2,3,123,휴면
CUS-****752,319,1,76800,1,1,2,112,휴면
CUS-****787,319,1,37700,1,1,1,111,휴면
CUS-****784,322,2,239100,1,2,4,124,휴면
CUS-****795,322,1,79000,1,1,2,112,휴면
CUS-****819,324,2,191200,1,2,4,124,휴면
CUS-****732,325,2,103000,1,2,3,123,휴면
CUS-****684,325,2,95400,1,2,2,122,휴면
CUS-****719,327,1,45200,1,1,1,111,휴면
CUS-****851,327,1,35100,1,1,1,111,휴면
CUS-****680,329,1,68400,1,1,2,112,휴면
CUS-****659,329,1,31800,1,1,1,111,휴면
